#Do not delete the lines preceded by an "#" and do not modify the first three credit cards
#since they will be used in the acceptance tests.
#The lines preceded by an "#" must be ignored.
#Here you can add all the credit card numbers you need with their balance. The format MUST be :
#<creditCardNumber>;<balance>
4485370086510891;150.00
5100293991053009;7.0
4716258050958645;0.0
6532720076163432;-15.5
3203664602202618;0.5
1877374334133169;4.1
3017786004753256;148.0
4351381506542720;21.5
8600881001678721;11.1
7303146685412462;25.4
1725085748285106;36.1
6660670416482071;1.5
1673504226712771;15.4
6628842520605324;-15.7
5772230762774758;0.0
8506817028188489;0.0
4086104371566430;15.4
4776286533526447;17.6
8226445650300021;19.7
8103303530300653;90.7
4828636733262375;111.01
0146501384203727;11.11
3012087005515173;959.15
0114413111253884;157.14
0588081206688715;156.1
1288026135750566;1.1
4208228804482122;0.01
2137445124377408;11.1
1583236403047114;516.0
0415833117672181;15.4
1320666183266013;13.52
5700456676836162;154.4
1850526867030838;16.4
